loan_id,customer_ref,loan_type,amount_requested,amount_approved,interest_rate,term_months,application_date,status,credit_score_at_application
LN5430,pamela.jones@gmail.com,Personal Loan,272065.83,,12.26,36,05/28/2026,Withdrawn,624
LN5138,500130,Auto Loan,84167.72,,10.06,60,02-11-2022,Denied,595
LN5130,ryan.dixon@gmail.com,Business Loan,290452.23,,-,60,2025-11-18,Denied,786
LN5297,500668,n/a,123889.15,"100,284.70",4.97,360,03-09-2025,Approved,568
LN5444,jason.jones@gmail.com,Student Loan,127553.58,,12.06,36,20251011,Denied,650
LN5135,samuel.keller@hotmail.com,Business Loan,173632.42,,3.61,360,28-05-2025,Pending Review,544
LN5204,500073,Student Loan,178556.27,161924.31,12.68,24,2025-01-25,Approved,836
ln5074,500312,Mortgage,20293.78,15676.62,5.59,12,"Jan 18, 2025",Approved,746
LN5028,500229,Student Loan,175769.5,,5.66,360,27/02/2023,Denied,626
LN5566,500031,Mortgage,119634.53,107525.84,13.53,120,20240916,Approved,808
LN5449,500577,Business Loan,154525.15,125425.75,14.49,48,01/19/2026,Approved,534
LN5131,500202,Personal Loan,258435.34,238127.45,7.64,120,20250806,Approved,747
LN5499,cameron.frost@yahoo.com,  Personal Loan   ,363274.85,,10.44,36,20251119,Denied,713
LN5548,500668,Business Loan,275428.72,232127.69,6.16,60,2022-10-23,Approved,527
LN5417,500396,Student Loan,215696.92,,5.15,120,06/01/2026,Withdrawn,709
LN5040,500299,Mortgage,121232.3,96795.81,3.86,60,04/12/2024,Approved,588
LN5179,james.collins@hotmail.com,Personal Loan,328504.7,,10.7,360,07/01/2025,Pending Review,613
LN5348,500630,Mortgage,40826.82,,13.15,12,"Aug 07, 2026",Withdrawn,545
LN5571,500650,Personal Loan,159376.74,127197.6,13.99,360,15/07/2024,Approved,721
LN5495,amy.black@hotmail.com,Mortgage,125829.7 usd,,12.71,120,2026-07-13,Withdrawn,715
LN5256,500215,Student Loan,261399.0,256777.82,5.34,60,08/18/2023,Approved,680
ln5534,benjamin.french@gmail.com,Mortgage,198921.15,,14.05,180,20260619,Pending Review,632
LN5065,500343,Business Loan,136526.95,,12.33,120,2024-05-01,Pending Review,850
LN5402,   timothy.hancock@hotmail.com   ,Student Loan,337979.89,,6.2,36,2022-09-18,Denied,554
LN5171,julie.knight@gmail.com,Auto Loan,64816.39,,10.47,24,"May 14, 2024",Withdrawn,686
LN5010,zachary.smith@gmail.com,Student Loan,151267.63,130148.61,5.13,360,2024-10-13,Approved,687
LN5554,500570,Business Loan,81481.27,72864.53,6.6,60,01/04/2024,Approved,574
LN5366,500281,Auto Loan,277466.87,,6.65,24,2026-07-06,Pending Review,752
LN5394,robert.price@gmail.com,Student Loan,441681.88,386934.61,6.33,360,2023-02-21,Approved,607
LN5399,noah.sweeney@hotmail.com,Auto Loan,44939.55,,11.05,360,20230401,Pending Review,628
LN5332,500296,Personal Loan,214708.0,163599.0,9.67,24,11/15/2022,Approved,583
LN5389,500052,Auto Loan,129025.0,,8.23,36,20250811,Denied,603
LN5284,mary.williams@hotmail.com,Mortgage,420625.5 usd,316319.82,6.51,60,01/09/2024,Approved,570
ln5638,500668,Business Loan,8269.85,,3.64,24,-,Withdrawn,618
LN5413,500044,Mortgage,129799.95,,14.18,48,2022-11-27,Denied,695
LN5184,500659,Personal Loan,170498.48,,5.97,n/a,02-06-2023,Denied,790
LN5361,500420,Student Loan,133240.34,103536.26,4.36,60,02/06/2026,Approved,792
LN5641,500451,Mortgage,193286.33,,8.78,60,11/24/2023,Denied,797
LN5496,500524,Mortgage,373726.19,344819.66 usd,3.74,360,20250507,Approved,704
LN5575,500325,Mortgage,329431.2,,5.31,360,2023-02-10,Denied,n/a
LN5082,christine.ellis@yahoo.com,Auto Loan,281941.02,251817.9,11.81,24,13-02-2026,Approved,728
LN5574,michael.case@gmail.com,Business Loan,413017.98,,6.44,24,"Nov 19, 2024",Pending Review,615
LN5452,500182,Student Loan,99911.06,98726.12,14.59,360,15-08-2023,Approved,555
LN5312,patrick.romero@yahoo.com,Mortgage,null,213711.74,8.68,24,26-04-2024,APPROVED,687
LN5095,catherine.martin@hotmail.com,Business Loan,120624.29,119612.38,9.95,36,20260223,Approved,802
LN5247,jennifer.mcintyre@gmail.com,Auto Loan,38525.55,34484.22,10.57,36,06/01/2025,Approved,597
LN5310,patrick.romero@yahoo.com,Mortgage,173179.05,167849.41,,48,20230529,Approved,unknown
LN5187,alyssa.jones@gmail.com,mortgage,,,13.94,12,05-10-2022,Pending Review,n/a
LN5344,gabrielle.riley@yahoo.com,Mortgage,108479.97,95455.69,8.07,60,2026-03-10,Approved,612
ln5358,500004,Mortgage,179338.27 usd,128950.85,6.41,120,20240820,Approved,777
LN5317,renee.todd@yahoo.com,Personal Loan,116576.12,"92,897.42",9.13,180,17-02-2025,Approved,638
LN5440,500326,Personal Loan,345687.83,270207.22,6.46,36,05-08-2023,Approved,633
LN5219,500117,Personal Loan,14180.51,12015.72,9.67,120,"Mar 25, 2026",Approved,826
LN5144,william.miller@gmail.com,Personal Loan,53933.24,38674.32,5.16,36,10-01-2024,Approved,608
LN5118,500635,Personal Loan,348576.06,,5.62,180,30/06/2023,Denied,728
LN5172,ronald.smith@hotmail.com,Auto Loan,183403.56,166365.99,4.36,60,10-02-2023,Approved,850
LN5420,500675,Personal Loan,185182.52,176186.1,14.3,180,22-04-2023,Approved,650
LN5617,500007,Student Loan,"$348,698.19",348439.26,13.99,48,25/04/2023,Approved,843
LN5475,aaron.wise@gmail.com,Auto Loan,428025.25,,14.62,60,20260523,Pending Review,721
LN5282,VICKI.GARCIA@YAHOO.COM,Mortgage,98684.32,73874.37,9.38,360,"Aug 19, 2025",Approved,671
LN5275,casey.johnson@gmail.com,  Personal Loan   ,148748.71,126361.21,7.92,120,07-04-2026,Approved,541
LN5378,500305,Personal Loan,171249.68,"141,208.05",6.01,120,02/04/2023,Approved,624
LN5129,500022,Business Loan,123293.12,105164.85,12.42,-,2026-01-27,Approved,664
LN5088,michael.martin@hotmail.com,Student Loan,259173.49,,9.75,120,24/09/2022,Withdrawn,515
LN5637,500524,Personal Loan,247127.84,230806.14,6.92,360,26/02/2023,aPPROVED,512
LN5498,500134,Auto Loan,369355.38,,11.54,360,17-10-2024,Pending Review,547
LN5159,sherry.arias@hotmail.com,Personal Loan,76604.31,,8.08,120,05/07/2023,Pending Review,618
LN5595,500084,Student Loan,28308.23,"25,936.56",7.95,12,19/05/2026,Approved,507
LN5300,500538,Auto Loan,306347.42,221391.15,10.87,120,08/29/2023,approved,839
LN5078,500477,-,179693.25,168388.67,3.75,360,20240603,Approved,784
LN5295,500479,Auto Loan,32283.35 usd,,11.35,36,12/06/2022,Pending Review,744
LN5401,500516,Mortgage,"358,397.61",254202.82,5.08,60,28-01-2026,Approved,700
LN5644,500664,Auto Loan,329527.05,,5.6,12,2024-02-29,Pending Review,806
LN5434,500341,Student Loan,295992.61,,9.31,360,2025-06-15,Pending Review,756
LN5547,500528,Student Loan,317697.68,,13.72,24,25/04/2023,Withdrawn,812
ln5425,donna.roman@gmail.com,Student Loan,362804.96,,6.36,36,"Feb 08, 2023",Denied,797
LN5336,taylor.glenn@hotmail.com,Mortgage,260540.71,,10.78,null,25/10/2024,Denied,553
LN5196,500239,Student Loan,231741.02,196763.77,6.24,36,03/24/2025,Approved,536
LN5163,lori.adams@yahoo.com,Personal Loan,161506.95,117909.58,11.38,120,2025-11-11,Approved,746
LN5037,500725,Personal Loan,448875.25,426162.27,11.62,12,20250210,Approved,680
LN5117,bradley.park@hotmail.com,Mortgage,346477.2,,9.8,120,01/21/2023,  Pending Review   ,514
LN5488,christine.ellis@yahoo.com,Personal Loan,442423.29,,12.18,12,18/09/2025,Withdrawn,589
ln5190,500387,Student Loan,61399.23,,4.23,36,2023-11-29,Withdrawn,785
LN5109,casey.johnson@gmail.com,UNKNOWN,91189.55,74128.9,13.01,12,15/12/2022,Approved,819
LN5086,500604,Personal Loan,269449.82,190791.46,14.22,180,12/07/2022,Approved,698
LN5139,christopher.oliver@yahoo.com,Student Loan,265198.77,,5.45,180,19/03/2024,Withdrawn,542
LN5284,mary.williams@hotmail.com,Mortgage,420625.5 usd,316319.82,6.51,60,01/09/2024,Approved,570
LN5030,500257,Auto Loan,270914.39,,7.09,180,"Jun 27, 2025",Denied,573
LN5286,courtney.fletcher@yahoo.com,Mortgage,68239.75,52024.55,9.83,60,01/09/2024,Approved,841
LN5134,500310,Personal Loan,267848.26,,9.06,180,01/27/2023,Pending Review,n/a
LN5177,500639,Mortgage,null,,6.9,24,11/11/2024,Pending Review,689
LN5181,500629,AUTO LOAN,342327.25,287717.05,11.75,180,"Oct 26, 2023",Approved,786
LN5249,linda.thompson@yahoo.com,Personal Loan,413510.93,354849.17,9.33,180,21-09-2024,Approved,673
LN5294,500388,Student Loan,111021.77,,7.24,360,20240815,Pending Review,543
LN5551,500437,Business Loan,420037.94,336266.03,9.12,12,26/07/2024,Approved,755
LN5085,500271,Personal Loan,112882.48,102189.17,8.38,60,"Dec 09, 2023",Approved,584
LN5008,TYRONE.CRAIG@HOTMAIL.COM,Business Loan,341771.42,240004.01,5.48,12,2023-10-10,Approved,601
LN5290,500065,Student Loan,"$278,609.44",264798.22,6.28,120,2022-09-10,Approved,646
LN5353,500501,Student Loan,134283.44,129343.03 usd,n/a,24,16/09/2024,Approved,642
LN5549,blake.rivers@yahoo.com,Personal Loan,400803.26,386392.94,10.29,24,04/01/2025,Approved,763
LN5335,SARAH.WHITE@HOTMAIL.COM,Auto Loan,74702.98,54140.68,6.27,36,04/26/2025,Approved,550
LN5278,julie.knight@gmail.com,Auto Loan,332553.91,264438.2,10.03,24,07/12/2024,  Approved   ,605
LN5064,500339,Mortgage,383124.75,313863.36,7.3,24,17/07/2026,Approved,508
LN5234,500162,Student Loan,206171.16,186007.28,9.97,48,08-11-2022,approved,668
LN5124,gary.davidson@yahoo.com,Auto Loan,152607.95,,4.94,60,11-11-2023,Pending Review,780
LN5455,500395,Business Loan,148283.27,112415.48 usd,3.99,36,02/01/2024,Approved,848
LN5559,jennifer.carey@yahoo.com,Auto Loan,24412.13,,null,360,24/06/2025,Pending Review,643
LN5500,troy.brown@gmail.com,Auto Loan,117106.96,,7.02,36,07/08/2026,Pending Review,768
LN5154,500692,Auto Loan,443525.85,,4.56,12,20230412,Pending Review,772
LN5066,tiffany.allen@gmail.com,Personal Loan,136187.59,,12.75,36,"Jul 03, 2023",Pending Review,845
LN5379,regina.kennedy@yahoo.com,Personal Loan,64639.29,57462.7,14.59,48,07/21/2026,Approved,515
LN5180,500700,Auto Loan,58094.37,,-,12,04-04-2024,Denied,609
LN5582,500111,Student Loan,226465.55,172339.32,9.46,120,01-01-2023,Approved,unknown
LN5012,jessica.schmidt@gmail.com,Mortgage,,,4.81,36,21/06/2023,Withdrawn,626
LN5630,500531,Student Loan,122694.9,,7.53,60,"Nov 23, 2025",Denied,780
LN5362,500061,Mortgage,107688.92,"84,274.87",5.9,60,02/10/2022,Approved,654
LN5093,500681,Student Loan,4481.99,4350.44,7.59,24,20251007,Approved,840
LN5033,michael.johnson@hotmail.com,Student Loan,397618.81,300562.95,n/a,36,20260530,Approved,850
LN5049,500290,Personal Loan,418121.12,378767.23,13.08,360,20250508,Approved,651
LN5022,henry.nielsen@yahoo.com,Personal Loan,5540.31,,11.21,60,04-08-2026,Denied,524
LN5039,jason.jones@gmail.com,Student Loan,409576.09,302014.01,8.36,60,"Dec 14, 2022",Approved,657
LN5584,laura.vega@yahoo.com,NULL,76133.44,57280.65,4.01,180,20221021,Approved,658
LN5121,500532,Business Loan,22489.66,,8.82,360,"Jun 07, 2026",Denied,NULL
LN5494,tina.elliott@yahoo.com,Mortgage,206396.91,,7.42,60,20251213,Denied,564
LN5459,500366,Business Loan,225875.2,218528.07,5.05,120,09/21/2024,Approved,797
LN5052,michael.wagner@yahoo.com,Personal Loan,30896.13,28107.75,10.23,48,2023-04-07,Approved,565
LN5063,evan.schmidt@yahoo.com,Personal Loan,400504.9,380979.83,11.17,180,"Apr 25, 2025",Approved,751
LN5530,debra.gross@gmail.com,Auto Loan,409355.82,293913.15,5.92,180,20240914,Approved,804
ln5464,500702,Student Loan,235772.55,,N/A,60,04/26/2024,Withdrawn,727
ln5215,isabella.nguyen@gmail.com,Mortgage,430583.9,382922.04,7.67,24,20260624,Approved,null
ln5213,500096,Personal Loan,205129.76,176475.98 usd,5.89,60,20240221,Approved,654
LN5305,500170,Personal Loan,160530.34,,9.09,180,N/A,Pending Review,824
LN5320,500667,Student Loan,343233.58,310226.61,5.5,48,"Sep 04, 2023",Approved,710
LN5058,michael.thompson@yahoo.com,Personal Loan,116735.11,,7.29,60,"Dec 25, 2025",Pending Review,743
LN5169,jacqueline.stanley@hotmail.com,Mortgage,313404.43,,6.93,60,14-09-2022,Denied,674
LN5538,500738,Auto Loan,303079.1,,13.04,12,17/01/2023,Pending Review,723
LN5228,bethany.prince@yahoo.com,Business Loan,286989.3,261514.13,11.22,24,20241008,Approved,576
LN5478,savannah.taylor@hotmail.com,Auto Loan,50705.19,43473.09,4.57,48,10/24/2025,Approved,708
LN5504,500136,Student Loan,147268.74,,5.55,120,14/01/2023,Withdrawn,776
LN5487,joshua.golden@gmail.com,Student Loan,449002.96,326256.49 usd,NULL,12,05/07/2025,Approved,544
LN5044,500398,Student Loan,277383.51,,13.86,60,02-06-2023,Denied,780
LN5128,500708,Mortgage,276803.69,,11.12,360,05/23/2024,Pending Review,548
LN5450,500262,Business Loan,435479.02,,8.87,120,"Jun 26, 2023",Pending Review,666
LN5274,500078,Student Loan,422044.13,381440.82,5.5,36,13/07/2024,Approved,573
LN5342,500529,Student Loan,16233.34,14409.37,3.85,48,05/07/2025,Approved,653
LN5209,500366,Student Loan,20978.54,16608.71,11.92,24,20260608,Approved,786
LN5293,500596,Student Loan,94295.92,67282.98,11.29,60,2024-05-27,Approved,548
ln5241,troy.brown@gmail.com,Student Loan,230167.98,217392.98,8.8,12,20251109,Approved,616
LN5490,andrew.bryant@hotmail.com,Student Loan,293841.49,242264.96,7.98,36,04-12-2025,Approved,502
LN5454,500157,Mortgage,203447.16,190879.19,4.21,36,25-09-2023,Approved,610
LN5053,500205,Business Loan,23309.25,17698.14,5.94,48,08/09/2022,Approved,unknown
LN5076,meghan.johnson@gmail.com,Business Loan,145085.18,,11.61,12,06/29/2024,Withdrawn,786
LN5166,zachary.flowers@hotmail.com,n/a,405195.61,389419.52,7.38,180,02/22/2024,Approved,629
LN5447,500526,Personal Loan,261923.96,198678.63,14.84,36,22/06/2025,Approved,763
LN5522,cody.arnold@yahoo.com,Student Loan,132087.59,,3.86,36,08-08-2024,Denied,797
LN5314,500282,Business Loan,328504.71,279447.43,13.19,48,13/09/2025,Approved,675
LN5583,rebekah.jordan@gmail.com,Business Loan,428072.2,387436.14,8.13,180,20231126,Approved,605
LN5633,500042,Auto Loan,35626.21,,11.61,180,12/15/2022,Pending Review,624
LN5596,brandy.ayers@gmail.com,Mortgage,160684.5,,13.59,12,09/07/2024,Denied,573
LN5188,500061,Student Loan,134097.47,,10.02,180,25/01/2024,Pending Review,601
LN5301,500550,Auto Loan,165150.16,159415.13,6.98,48,20240121,Approved,523
LN5576,500491,Student Loan,146602.28,130421.63,n/a,180,05-08-2026,Approved,623
LN5550,500166,Mortgage,243405.36,229590.37,6.29,48,20240630,Approved,623
LN5457,michael.case@gmail.com,Personal Loan,212992.8,171530.93,6.71,24,2023-02-18,Approved,588
LN5531,500575,   Mortgage   ,398098.3,379553.43,13.2,48,20-06-2026,Approved,599
LN5299,fred.powell@hotmail.com,Personal Loan,50207.14,,5.66,12,29/07/2024,Pending Review,522
LN5329,joseph.martin@yahoo.com,Business Loan,158028.06,116756.7,7.41,48,2024-06-20,Approved,574
LN5209,500366,Student Loan,20978.54,16608.71,11.92,24,20260608,Approved,786
LN5519,500449,Business Loan,404302.43,,5.27,360,15/10/2025,Pending Review,740
LN5603,eric.york@yahoo.com,Auto Loan,155911.43,,5.04,120,2023-06-02,Withdrawn,705
LN5054,500749,Personal Loan,139016.62,,13.42,12,13-07-2024,Pending Review,600
LN5244,500703,  Personal Loan   ,345134.4,,5.45,180,30/05/2023,Denied,519
LN5535,500691,Business Loan,106316.5,82286.83,5.73,60,20240819,Approved,754
ln5254,500340,Mortgage,317710.73,,13.36,36,29/04/2026,Pending Review,560
LN5195,500193,Personal Loan,374902.44,327020.56,7.19,null,04-11-2023,Approved,649
LN5201,john.sheppard@gmail.com,Business Loan,187657.11,,4.8,36,"Oct 18, 2023",Denied,756
LN5489,500242,Mortgage,274266.71,199590.44,7.83,360,12/13/2025,Approved,644
LN5514,500547,Auto Loan,unknown,75758.96,10.41,180,12/09/2023,Approved,537
LN5315,500446,Business Loan,403481.52,,5.04,24,28/05/2025,DENIED,787
LN5517,500057,Student Loan,217302.28,170869.83,7.87,60,23/03/2025,Approved,765
LN5337,500433,Student Loan,7510.75,5657.81,8.63,12,08-09-2022,Approved,766
LN5218,500662,Personal Loan,"229,192.27",,10.11,12,14-01-2024,Denied,560
LN5579,500323,Mortgage,333058.35,272230.23,10.11,60,2025-07-18,Approved,603
LN5303,500632,Student Loan,34447.57,,7.23,24,05/03/2026,Denied,750
LN5648,500537,Mortgage,286876.72,,9.16,36,"Aug 28, 2024",Denied,597
LN5005,500568,Business Loan,273938.75,,9.32,24,2023-10-14,Withdrawn,817
LN5546,500486,Personal Loan,,,4.88,12,14/10/2025,Withdrawn,807
LN5041,500140,Business Loan,371491.56,,7.82,36,07/29/2025,Pending Review,736
LN5119,500527,Personal Loan,154329.65,,3.85,12,"Apr 07, 2023",  Denied   ,509
ln5203,noah.rodriguez@yahoo.com,Mortgage,277975.99,,13.28,60,11/10/2022,Denied,836
LN5614,500385,Personal Loan,19632.42,,13.68,36,06/03/2025,Denied,706
LN5506,500669,Personal Loan,305971.44,271968.07,11.85,180,20251113,Approved,782
ln5162,brad.jones@yahoo.com,Auto Loan,101084.29,99519.74,12.27,48,2023-07-03,Approved,536
LN5146,james.roach@yahoo.com,Student Loan,348923.12,282259.37,4.52,12,20260729,APPROVED,766
LN5202,kyle.garner@hotmail.com,Personal Loan,29050.92,24258.63,4.78,120,05/30/2023,Approved,685
LN5618,500207,Auto Loan,216481.36,,10.22,180,2022-09-22,Pending Review,634
LN5183,500269,Mortgage,259800.2,184271.4,4.97,60,15/05/2025,Approved,810
LN5608,500635,Mortgage,129026.91,93883.18,6.86,60,2022-12-29,Approved,581
LN5095,catherine.martin@hotmail.com,Business Loan,120624.29,119612.38,9.95,36,20260223,Approved,802
LN5287,500433,Student Loan,366999.5,327752.21,unknown,180,20230510,Approved,696
LN5647,500718,Auto Loan,25488.98,18606.18,3.57,48,09/02/2022,Approved,800
LN5405,500547,,19086.9,19001.94,3.66,180,2026-05-27,Approved,850
LN5364,lauren.parks@gmail.com,Student Loan,359948.26,,14.01,180,2025-10-03,Withdrawn,680
LN5432,TIMOTHY.HOLLAND@HOTMAIL.COM,Student Loan,372948.1,,unknown,36,02-10-2024,Withdrawn,666
LN5537,holly.mcdowell@hotmail.com,Student Loan,168883.64,168102.16,12.04,180,17-12-2023,Approved,799
LN5198,500159,Auto Loan,320783.74,,N/A,60,05/09/2025,Withdrawn,
LN5160,500624,Business Loan,428098.83,353891.79,10.7,60,"Nov 12, 2023",Approved,572
LN5122,500604,Business Loan,299218.48,224943.29,13.21,180,"Oct 23, 2025",Approved,791
LN5486,500142,Business Loan,381979.21,,11.32,UNKNOWN,"Dec 20, 2025",Pending Review,677
LN5273,500292,Personal Loan,304418.46,225727.97,n/a,24,20260512,Approved,709
LN5020,charles.butler@gmail.com,null,145456.21,,4.73,360,20250106,Denied,790
LN5199,jim.butler@hotmail.com,Personal Loan,129525.01,,14.41,12,22-05-2023,Pending Review,539
LN5145,jennifer.lee@gmail.com,mortgage,104555.37,77220.72,5.53,120,20250328,Approved,771
LN5265,500095,Business Loan,203707.44,202796.59,8.01,180,04-01-2025,Approved,845
LN5357,katrina.berry@yahoo.com,Mortgage,70684.9,,7.81,180,"Jun 03, 2025",Denied,751
LN5412,marie.juarez@yahoo.com,Business Loan,307196.71,,12.2,180,05/05/2024,Denied,548
LN5051,500035,Auto Loan,177900.9,,3.73,36,02/10/2024,Pending Review,
LN5230,500063,Student Loan,377317.76,,11.45,12,"Mar 21, 2023",   Pending Review   ,645
LN5636,500250,personal loan,439288.07,435686.39,7.09,24,"Feb 09, 2025",Approved,678
LN5261,500101,Personal Loan,267576.4,,9.75,60,22-07-2024,Pending Review,541
LN5017,500678,Personal Loan,131285.99,,8.4,12,"Nov 02, 2024",Denied,634
LN5557,500164,Business Loan,-,,8.26,12,10/26/2022,Denied,781
LN5233,christine.mendez@hotmail.com,Student Loan,422265.56,408090.54,7.51,360,2025-10-13,Approved,762
LN5569,500082,Mortgage,375314.09,334443.83,11.18,48,20240703,Approved,738
LN5592,eric.thomas@yahoo.com,Personal Loan,9505.93,8933.89,4.09,120,2023-07-16,Approved,732
LN5069,matthew.hubbard@gmail.com,Mortgage,84091.0,,6.98,360,20220910,Denied,696
LN5470,alyssa.cunningham@gmail.com,Auto Loan,139353.21,,14.63,180,09/20/2025,Denied,656
LN5385,500604,Student Loan,N/A,,n/a,180,19/03/2024,Withdrawn,622
LN5356,500268,Auto Loan,416929.7,368993.99,6.31,180,20250307,Approved,664
LN5585,john.green@hotmail.com,Student Loan,55278.4,42576.14,12.82,12,20260611,Approved,710
LN5359,alexander.larsen@yahoo.com,Student Loan,193884.23,158865.22,5.75,12,24-03-2023,Approved,747
LN5646,500146,Business Loan,142424.9,108888.74,14.12,180,20240410,Approved,632
LN5594,500007,   Mortgage   ,213371.35,"$169,362.03",13.64,120,20230809,Approved,812
LN5461,tyrone.craig@hotmail.com,Business Loan,345179.93,282702.54,10.94,N/A,20230811,Approved,727
LN5540,500472,Mortgage,28652.55,21557.82,8.45,60,20250111,Approved,676
LN5421,500490,Mortgage,122041.65,118376.7,11.52,60,"Mar 02, 2025",Approved,628
LN5060,sarah.cruz@yahoo.com,Mortgage,71271.47,60305.2,13.53,60,NULL,Approved,776
LN5565,500584,Personal Loan,UNKNOWN,28059.75,4.7,12,20230111,Approved,747
LN5330,500568,Business Loan,30268.16,29619.17,14.23,120,30/11/2025,Approved,747
ln5057,500201,Student Loan,28852.31,24772.83,14.7,24,05/12/2026,Approved,618
LN5453,jacob.baldwin@hotmail.com,Business Loan,318466.03,,14.84,12,13-05-2026,Pending Review,539
LN5627,500035,Mortgage,231136.55,,7.78,48,27/05/2025,Pending Review,685
LN5266,500153,Auto Loan,363738.08,304994.37,11.11,180,N/A,   Approved   ,506
LN5004,brittany.bradley@hotmail.com,Personal Loan,112073.9,,5.58,48,2023-05-26,Pending Review,771
LN5511,500491,Personal Loan,270601.89,265760.62,10.47,360,05/28/2025,Approved,520
LN5211,500647,Business Loan,149288.09,108798.08,4.94,12,05/05/2023,Approved,510
LN5623,matthew.romero@yahoo.com,Personal Loan,267585.26,218703.79,8.18,360,11/12/2022,Approved,827
LN5384,500653,Auto Loan,373124.99,,8.39,120,30/12/2025,Withdrawn,623
LN5343,500269,Student Loan,25387.83,24046.9,5.25,48,09/18/2022,Approved,549
LN5435,amanda.gray@yahoo.com,Mortgage,306976.15,,12.7,36,20240225,Denied,534
LN5291,500373,AUTO LOAN,388080.22,,7.86,48,01/04/2023,Denied,739
LN5619,charles.arnold@gmail.com,Personal Loan,84500.25,,9.31,48,07/05/2025,Pending Review,844
LN5597,christopher.mcintosh@yahoo.com,Business Loan,108644.9,79228.88,8.26,24,"Apr 12, 2024",Approved,679
LN5210,taylor.smith@hotmail.com,unknown,25700.22,,11.47,120,31/05/2023,Denied,509
LN5509,500471,Auto Loan,281457.97,255922.83,14.88,60,2023-02-15,Approved,538
LN5152,500388,Business Loan,212983.32,,4.76,48,20230818,Pending Review,512
LN5043,amber.jones@hotmail.com,Mortgage,378006.74,335344.35,11.18,12,08/13/2024,Approved,508
LN5436,500231,Mortgage,412753.03,381253.14,8.68,36,2025-01-14,Approved,677
ln5189,500535,Student Loan,239745.1,195244.85,5.09,48,03-03-2023,Approved,577
LN5232,500738,Personal Loan,320539.86,,7.98,360,07/30/2025,Pending Review,652
LN5281,michelle.cannon@yahoo.com,Auto Loan,175073.35,135641.66,14.19,60,2025-11-03,Approved,794
LN5611,500633,Auto Loan,196334.56,,14.6,180,30-11-2025,Denied,581
LN5140,JOSHUA.BISHOP@GMAIL.COM,Student Loan,4909.73,,12.09,180,20250603,denied,826
LN5001,500534,Mortgage,"402,881.25",,8.24,24,03/02/2025,Denied,533
LN5462,amanda.scott@hotmail.com,Student Loan,156706.96 usd,,13.47,60,01-01-2025,Denied,603
   LN5533   ,corey.ramirez@hotmail.com,Mortgage,401581.88,,-,120,UNKNOWN,Withdrawn,544
LN5552,cody.arnold@yahoo.com,Mortgage,35647.72,31467.78,3.82,12,2026-01-08,Approved,556
LN5419,gina.lynch@yahoo.com,Mortgage,249348.67,,14.83,12,2024-09-18,Withdrawn,595
LN5516,500145,Personal Loan,262681.46,,6.77,24,2023-11-11,Withdrawn,709
LN5567,500260,Personal Loan,167997.07,167055.23,11.57,180,05/01/2023,Approved,N/A
LN5539,500021,Mortgage,385084.77,338488.4,8.2,unknown,"Mar 23, 2024",Approved,709
LN5544,500687,Auto Loan,329860.66,325262.99,9.37,60,"Feb 18, 2026",Approved,601
LN5492,500440,Student Loan,371859.21,276001.65,5.27,120,2026-05-05,Approved,757
LN5341,500225,MORTGAGE,281083.32,232172.04,9.06,180,2024-05-14,APPROVED,644
LN5126,500213,Business Loan,217846.37,,5.49,24,2024-12-14,Pending Review,564
LN5252,500026,Auto Loan,77675.38,,8.47,48,11/07/2025,Pending Review,unknown
LN5422,   oscar.evans@yahoo.com   ,Business Loan,257965.15,204166.93,10.49,120,26/04/2026,Approved,760
LN5304,500505,Business Loan,340168.54,273167.5,14.19,360,2025-10-26,aPPROVED,621
LN5114,500541,Business Loan,48133.8,44248.51,8.16,360,2025-05-23,Approved,731
LN5521,500038,Business Loan,266480.66,,14.78,360,2023-05-25,Denied,722
LN5433,500129,Auto Loan,n/a,252505.83,5.02,120,20260329,Approved,596
LN5612,500020,Student Loan,328267.7,,11.81,180,2025-10-12,   Denied   ,587
LN5231,500183,Mortgage,388401.0,312829.64,10.84,180,30/12/2022,Approved,515
LN5322,susan.conley@hotmail.com,Business Loan,419281.73,,5.62,12,03/02/2023,Pending Review,528
LN5079,jon.copeland@gmail.com,Auto Loan,"$317,978.36",254785.29,11.23,180,20231027,Approved,572
LN5127,andrew.graham@gmail.com,Mortgage,247403.72,191574.17,5.89,36,2024-06-06,Approved,573
LN5061,500556,sTUDENT lOAN,366493.78,,13.96,48,"Oct 12, 2024",Withdrawn,640
LN5031,500549,Auto Loan,254746.56,,6.34,12,15/10/2025,Pending Review,790
LN5070,500447,Personal Loan,87630.73,87048.93,13.02,180,01-10-2024,Approved,570
LN5424,500153,unknown,440918.25,,3.82,180,20231221,Withdrawn,532
LN5515,500718,Auto Loan,270906.54,,6.94,24,2023-04-09,Denied,683
LN5259,500703,Business Loan,247916.55,,5.37,24,"Sep 29, 2023",Withdrawn,583
LN5376,500028,Mortgage,N/A,,11.23,360,2025-12-12,Withdrawn,564
LN5116,500398,Personal Loan,192116.16,155543.91,8.11,60,20260216,Approved,702
LN5588,500268,Mortgage,35130.19,,6.89,24,22-10-2024,Withdrawn,523
LN5355,500406,Mortgage,363125.46 usd,,13.53,60,2023-04-17,Withdrawn,564
LN5268,500312,Mortgage,4171.43,,7.7,360,20221224,Pending Review,548
LN5045,500053,Mortgage,unknown,234489.56,7.9,36,20230316,Approved,665
